area,route_name,date,gpx_file,url
志賀・草津・四阿山・浅間,志賀高原：前山〜木戸池〜石の湯ロッジ,2025年02月02日(日),routes/track-7766540.gpx,https://www.yamareco.com/modules/yamareco/detail-7766540.html
蔵王・面白山・船形山,蔵王・二ッ森山♪山スキー,2025年02月02日(日),routes/track-7766577.gpx,https://www.yamareco.com/modules/yamareco/detail-7766577.html
槍・穂高・乗鞍,十石山,2025年02月01日(土),routes/track-7766582.gpx,https://www.yamareco.com/modules/yamareco/detail-7766582.html
札幌近郊,ポンキモBC,2025年01月31日(金),routes/track-7766589.gpx,https://www.yamareco.com/modules/yamareco/detail-7766589.html
積丹・ニセコ・羊蹄山,チセヌプリ周遊,2025年02月01日(土),routes/track-7766596.gpx,https://www.yamareco.com/modules/yamareco/detail-7766596.html
積丹・ニセコ・羊蹄山,初めまして羊蹄さん,2025年02月02日(日),routes/track-7766598.gpx,https://www.yamareco.com/modules/yamareco/detail-7766598.html
甲信越,巻機山,2025年02月02日(日),routes/track-7766613.gpx,https://www.yamareco.com/modules/yamareco/detail-7766613.html
妙高・戸隠・雨飾,高妻山,2025年02月03日(月),routes/track-7766628.gpx,https://www.yamareco.com/modules/yamareco/detail-7766628.html
槍・穂高・乗鞍,四ツ岳スキー,2025年02月01日(土),routes/track-7766670.gpx,https://www.yamareco.com/modules/yamareco/detail-7766670.html
積丹・ニセコ・羊蹄山,チセヌプリ南面930mまで ＋ 五色温泉裏,2025年02月04日(火),routes/track-7766956.gpx,https://www.yamareco.com/modules/yamareco/detail-7766956.html
妙高・戸隠・雨飾,旧飯綱高原スキー場,2025年02月04日(火),routes/track-7767055.gpx,https://www.yamareco.com/modules/yamareco/detail-7767055.html
富士・御坂,宝永山（途中まで）,2025年02月04日(火),routes/track-7767102.gpx,https://www.yamareco.com/modules/yamareco/detail-7767102.html
槍・穂高・乗鞍,Mt.乗鞍三本滝,2025年02月04日(火),routes/track-7767168.gpx,https://www.yamareco.com/modules/yamareco/detail-7767168.html
積丹・ニセコ・羊蹄山,羊蹄山比羅夫コース,2025年02月04日(火),routes/track-7767169.gpx,https://www.yamareco.com/modules/yamareco/detail-7767169.html
北海道,清水山,2025年02月04日(火),routes/track-7767255.gpx,https://www.yamareco.com/modules/yamareco/detail-7767255.html
道北・利尻,神楽山BC,2025年02月04日(火),routes/track-7767393.gpx,https://www.yamareco.com/modules/yamareco/detail-7767393.html
谷川・武尊,?л,2025年02月04日(火),routes/track-7767601.gpx,https://www.yamareco.com/modules/yamareco/detail-7767601.html
積丹・ニセコ・羊蹄山,イワオヌプリ,2025年02月03日(月),routes/track-7767636.gpx,https://www.yamareco.com/modules/yamareco/detail-7767636.html
十勝連峰,十勝の三段山の二段目からの山滑走 パート1,2025年02月04日(火),routes/track-7767818.gpx,https://www.yamareco.com/modules/yamareco/detail-7767818.html
